,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
8610,Ültje Knabbermischung Erdnüsse,1.39,100 Gramm,Dose Weißblech 200 Gramm,edeka,0.7
8611,Ültje Studentenfutter Deluxe,1.79,100 Gramm,Beutel 150  Gramm,edeka,1.19
8612,Gut & Gerne Naturreis-Waffeln mit Meersalz,0.99,100 Gramm,Packung 100 Gramm,edeka,0.99
8613,Gut & Gerne Knabbermix geröstet & gesalzen,1.19,100 Gramm,Packung 60 Gramm,edeka,1.98
8614,Gut & Gerne Naturreis-Waffeln ohne Salzzusatz,0.99,100 Gramm,Packung 100 Gramm,edeka,0.99
8615,reis-fit Risbellis Reis-Soja-Cracker Caramel,1.09,100 Gramm,Beutel 40 Gramm,edeka,2.73
8616,Truller Camapees Sale,0.49,100 Gramm,Beutel 150 Gramm,edeka,0.33
8617,Rübezahl Sun Rice,0.79,100 Gramm,Tafel 150 Gramm,edeka,0.53
8618,Schwartau Corny Knusbits Rote Früchte,1.49,100 Gramm,Becher 130  Gramm,edeka,1.15
8619,Liakada Pasteli-Sesam-Krokant,0.79,100 Gramm,Packung 50 Gramm,edeka,1.58
8620,Rinatura Bio VK--Kräcker Dinkel-Käse-Zwiebel,2.39,100 Gramm,Packung 150 Gramm,edeka,1.59
8621,Rinatura Bio Dinkel-Brezel mit Seseam,2.39,100 Gramm,Packung 125 Gramm,edeka,1.91
8622,Lien Ying Erdnüsse mit Wasabiumhüllung,2.79,100 Gramm,Packung 200 Gramm,edeka,1.4
8623,Lien Ying Goma geröstete Sesamsamen,0.99,100 Gramm,Packung 50 Gramm,edeka,1.98
8624,Lorenz Erdnuss-Locken Leicht Classic,1.69,100 Gramm,Beutel 225  Gramm,edeka,0.75
8625,Pringles Light Aromas Spicy Thai,1.39,100 Gramm,Dose 160  Gramm,edeka,0.87
8626,Wolf Bergstraße Goldfischli Sesam,0.99,100 Gramm,Beutel 100  Gramm,edeka,0.99
8627,Mövenpick Creation Vanille,1.99,100 Gramm,Packung 75 Gramm,edeka,2.65
8628,Genuport Buttermamoringe,1.79,100 Gramm,Packung 250 Gramm,edeka,0.716
8629,Gut & Gerne Honig-Waffeln,1.99,100 Gramm,Packung 175 Gramm,edeka,1.14
8630,Coppenrath & Wiese Cafe-Kränze,1.29,100 Gramm,Packung 250 Gramm,edeka,0.52
8631,Wicklein Creation a Coco,1.99,100 Gramm,Rolle 100 Gramm,edeka,1.99
8632,Schulte Biskuitzungen Orginal,1.59,100 Gramm,Packung 250 Gramm,edeka,0.64
8633,Schulte Schweinsöhrchen,1.49,100 Gramm,Beutel 250 Gramm,edeka,0.6
8634,Hig Hagemann Löffelbiskuits für Tiramisu,2.49,100 Gramm,Packung 500 Gramm,edeka,0.49800000000000005
8635,Hig Hagemann  Geniesser Blätterteig,1.59,100 Gramm,Packung 200 Gramm,edeka,0.8
8636,"Mars Bisc Twix, 6 x 26,7 g",1.19,100 Gramm,Packung 160.2 Gramm,edeka,0.74
8637,Spreewaffel Creme Waffeln Vanille,0.45,100 Gramm,Packung 100  Gramm,edeka,0.45
8638,Spreewaffel Sommer Waffeln Pfirsich Maracuja,0.49,100 Gramm,Packung 100 Gramm,edeka,0.49
8639,"Spreewaffel Häppchen Kakao-Kirsch, 3 x 30 g",0.99,100 Gramm,Packung 90 Gramm,edeka,1.1
8640,Rinatura Bio Dinkel-Sesam-Grissini,2.39,100 Gramm,Packung 100 Gramm,edeka,2.39
8641,Leverno Amarettini,2.29,100 Gramm,Packung 250 Gramm,edeka,0.92
8642,Leibnitz Milchsnack Doppel-Mürbekeks,1.39,100 Gramm,Packung 150  Gramm,edeka,0.93
8643,Genuport Gebäcksterne,1.79,100 Gramm,Packung 250 Gramm,edeka,0.72
8644,"Biscuiterie Charlotte Gebäck Sterne Marmorsterne, 8 Stück",1.79,100 Gramm,Packung 250 Gramm,edeka,0.72
8645,"Twix Bisc & Twix 6 x 26,7 g",1.19,100 Gramm,Packung 160 Gramm,edeka,0.74
8646,Swiss Delice Prussien,1.79,100 Gramm,Packung 220 Gramm,edeka,0.81
8647,Swiss Delice Gebäckspezialitäten Japonais,1.79,100 Gramm,Packung 100 Gramm,edeka,1.79
8648,Swiss Delice Gebäckspezialitäten Chocarre,1.79,100 Gramm,Packung 100 Gramm,edeka,1.79
8649,Swiss Delice Gebäckspezialitäten Brasilia,1.79,100 Gramm,Packung 100 Gramm,edeka,1.79
8650,Swiss Delice Passion de Coco,1.49,100 Gramm,Packung 100 Gramm,edeka,1.49
8651,Belli Schokoladen Kekse mit Schokoladenstückchen,2.29,100 Gramm,Beutel 200 Gramm,edeka,1.15
8652,"Lavazza Kaffee Crema Dolce,16 Kaffeepads",2.49,Preis pro Stück,Packung 16 Stück,edeka,0.16
8653,Segafredo Intermezzo,6.49,100 Gramm,Packung 500 Gramm,edeka,1.298
8654,"Segafredo Espresso Intermezzo, gemahlen",3.49,100 Gramm,Packung 250 Gramm,edeka,1.4
8655,Schulte  Cellini Original Italiano Espresso Crema e Aroma,13.99,100 Gramm,Beutel 1000 Gramm,edeka,1.399
8656,Jacobs Kaffee Krönung Gold Instant,7.49,100 Gramm,Glas 200 Gramm,edeka,3.75
8657,Jacobs Latte Macchiato,2.89,100 Gramm,Beutel 240 Gramm,edeka,1.2
8658,Jacobs 2 für 1 10 x16 g,1.99,100 Gramm,Packung 160 Gramm,edeka,1.24
8659,Jacobs Ice Coffee,2.49,100 Gramm,Dose Weißblech 275 Gramm,edeka,0.91
8660,Jacobs Cafe Hag 10  Portionen,1.79,Preis pro Stück,Packung 10 Stück,edeka,0.18
8661,Onko Choco Cappuccino Family Choco Cappuccino,2.99,100 Gramm,Dose Weißblech 500 Gramm,edeka,0.5980000000000001
8662,Niederegger Tee Marzipan,3.2,100 Gramm,Packung 100 Gramm,edeka,3.2
8663,Nestle Nesquick Erdbeer-Joghurt,1.99,100 Gramm,Beutel 400 Gramm,edeka,0.49800000000000005
8664,Windcor-Castle Rooibus Original,3.99,100 Gramm,Beutel 200 Gramm,edeka,2.0
8665,Windcor-Castle Rooibus Karamel,4.69,100 Gramm,Beutel 200 Gramm,edeka,2.35
8666,"Goldmännchen Mediterranee Toskana, 20 Beutel",2.29,Preis pro Stück,Packung 20 Stück,edeka,0.11
8667,"Bad Heilbrunner Mate-Tee Figur Fit, 15 Teebeutel",1.39,Preis pro Stück,Packung 15 Stück,edeka,0.09
8668,Teehaus Tee Multifrucht,1.99,Preis pro Stück,Packung 40 Stück,edeka,0.05
8669,"Teekanne Teefix Grüner Tee Grapefruit-Citrone,  25 Beutel",2.19,Preis pro Stück,Packung 25 Stück,edeka,0.09
8670,Teekanne Früchtetee Johannisbeer,2.19,Preis pro Stück,Packung 20 Stück,edeka,0.11
8671,Teehaus Kräutertee Kräuter-Orange,1.99,100 Gramm,Packung 60 Gramm,edeka,3.32
8672,Niederegger Trinkschokolade Marzipan,4.2,100 Gramm,Packung 250 Gramm,edeka,1.68
8673,Nestle Nesquick Vanille-Joghurt,2.09,100 Gramm,Beutel 400 Gramm,edeka,0.52
8674,Powerade Isotonisches Sportgetränk Orange,0.99,100 ml,Sportflasche 500 ML,edeka,0.198
8675,Bardinet Red Bitter,4.99,100 ml,Flasche Glas 0.7 L,edeka,0.713
8676,Bardinet alkoholfrei Curacao Bleu - alkoholfrei,4.99,100 ml,Flasche Glas 0.7 L,edeka,0.713
8677,"Lipton Ice Tea Lemon, 6 x 1,5 L",6.9,100 ml, 9 L,edeka,0.077
8678,"Gerolsteiner Moment Grüner Tee - Traube,   6 x 1 L",5.79,100 ml, 6 L,edeka,0.097
8679,Powerade Isotonisches Sportgetränk Wild-Cherry,11.88,100 ml,Pack 6 L,edeka,0.198
8680,"Bonaqa Sportswater Citrus, 12 x 500 ml, Mehrwegflasche",9.48,100 ml, 6 L,edeka,0.158
8681,Durstlöscher Fruchtsaftgetränk Apfel-Orange-Zitrone,0.39,100 ml,Getränkekarton 500 ML,edeka,0.078
8682,Müller Drink Blutorange,0.85,100 ml,Becher 500 ML,edeka,0.16999999999999998
8683,Roses Lime Juice Limettensaft,2.49,100 ml,Flasche Glas 750 ML,edeka,0.33
8684,Capri Sonne Orange Maracuja 10 x 0.2 L,2.19,100 ml,Pack 2 L,edeka,0.11000000000000001
8685,Riemerschmid Bar-Sirup Vanille,4.79,100 ml,Flasche Glas 700 ML,edeka,0.6839999999999999
8686,Anton Riemerschmid Sirup Granatapfel,3.99,100 ml,Flasche Glas 700 ML,edeka,0.5700000000000001
8687,Riemerschmid Bar-Sirup Kokos,4.79,100 ml,Flasche Glas 700 ML,edeka,0.6839999999999999
8688,Riemerschmid Bar-Sirup Maracuja,4.79,100 ml,Flasche Glas 700 ML,edeka,0.6839999999999999
8689,Anton Riemerschmid Sirup Blue Curacao,4.79,100 ml,Flasche Glas 700 ML,edeka,0.6839999999999999
8690,Riemerschmid Fruchtsirup Kirsche,4.99,100 ml,Flasche Glas 500 ML,edeka,0.998
8691,Anton Riemerschmid Sirup Maracuja,4.59,100 ml,Flasche Glas 500 ML,edeka,0.9179999999999999
8692,Riemerschmid Fruchtsirup Ananas,4.59,100 ml,Flasche Glas 500 ML,edeka,0.9179999999999999
8693,Riemerschmid Fruchtsirup Preiselbeere,4.49,100 ml,Flasche Glas 500 ML,edeka,0.898
8694,Riemerschmid Bar-Sirup Haselnuss,4.79,100 ml,Flasche Glas 700 ML,edeka,0.6839999999999999
8695,Riemerschmid Bar-Sirup Bitter,4.79,100 ml,Flasche Glas 700 ML,edeka,0.6839999999999999
8696,Krings Premium Kirsche,1.29,100 ml,Getränkekarton 1 L,edeka,0.129
8697,Krings Tomatensaft,0.99,100 ml,Getränkekarton 750 ML,edeka,0.132
8698,Hohes C Vital Traube-Kirsch,1.59,100 ml,Getränkekarton 1000 ML,edeka,0.159
8699,Granini Orangensaft ohne Fruchtfleisch,1.69,100 ml,Getränkekarton 1500 ML,edeka,0.11299999999999999
8700,Coco Tara Coconut,2.59,100 ml,Dose 330 ML,edeka,0.78
8701,Georges Monin Sirup-Minis 6 x 50 ml,5.99,100 ml,Packung 300 ML,edeka,1.9969999999999999
8702,Monin Rantcho 100 Zitrone,3.69,100 ml,Flasche Glas 700 ML,edeka,0.5269999999999999
8703,Georges Monin Sirup Kirsche,2.99,100 ml,Flasche Glas 250 ML,edeka,1.1960000000000002
8704,Georges Monin Sirup Schokolade,2.99,100 ml,Flasche Glas 250 ML,edeka,1.1960000000000002
8705,Sportfit Hitchcock O-Saft mit Fruchtfleisch,1.89,100 ml,Flasche Glas 750 ML,edeka,0.252
8706,Tri Top Getränkesirup Multivitamin,2.99,100 ml,Pet-Flasche 500 ML,edeka,0.5980000000000001
8707,Hohes C Vital Birne-Mango,1.59,100 ml,Getränkekarton 1000 ML,edeka,0.159
8708,Merziger Mehrfruchtsaft,1.49,100 ml,Getränkekarton 1000 ML,edeka,0.149
8709,Merziger Multi Nektar 6 x 1000 ml,8.49,100 ml, 6 L,edeka,0.142
8710,Pfanner Apfelsaft,2.39,100 ml,Getränkekarton 2000 ML,edeka,0.12
8711,Pfanner Active Balance Family zuckerarm,1.99,100 ml,Getränkekarton 2000 ML,edeka,0.1
8712,Ernest & Julio Gallo Turning Leaf Cabernet Sauvignon,5.99,100 ml,Flasche Glas 0.75 L,edeka,0.799
8713,Ernest & Julio Gallo Turning Leaf Merlot trocken,5.99,100 ml,Flasche Glas 0.75 L,edeka,0.799
8714,J.P. Chenet Blanc de Blancs,1.19,100 ml,Flasche Glas 250 ML,edeka,0.476
8715,J.P. Chenet Blanc de Moelleux,1.19,100 ml,Flasche Glas 250 ML,edeka,0.476
8716,J.P. Chenet Chardonnay,3.99,100 ml,Flasche Glas 0.75 L,edeka,0.532
8717,J.P. Chenet Merlot Cabernet trocken,3.79,100 ml,Flasche Glas 0.75 L,edeka,0.505
8718,Dr. Demuth Cool up Red Berry,1.99,100 ml,Flasche Glas 1000 ML,edeka,0.199
8719,Dr. Demuth youwell Erdbeer-Joghurt,2.99,100 ml,Flasche Glas 750 ML,edeka,0.399
8720,Winzergenossenschaft Oberbergen Bassgeige Müller-Thurgau,3.29,100 ml,Flasche Glas 1 L,edeka,0.329
8721,Reidemeister & Ulrichs Chateau Bernateau Saint-Emilion Grand Cru,19.99,100 ml,Flasche Glas 0.75 L,edeka,2.665
8722,Badischer Winzerkeller Spätburgunder trocken,5.99,100 ml,Flasche Glas 0.75 L,edeka,0.799
8723,Badischer Winzerkeller Weisser Burgunder trocken,4.29,100 ml,Flasche Glas 1000 ML,edeka,0.429
8724,Badischer Winzerkeller Weisser Burgunder,6.99,100 ml,Flasche Glas 0.75 L,edeka,0.932
8725,Winzervereinigung Freyburg  Saale-Unstrut Müller-Thurgau,5.49,100 ml,Flasche Glas 0.75 L,edeka,0.732
8726,Winzervereinigung Freyburg  Kerner,5.49,100 ml,Flasche Glas 0.75 L,edeka,0.732
8727,Winzervereinigung Freyburg  Grauburgunder,5.49,100 ml,Flasche Glas 0.75 L,edeka,0.732
8728,Sächsische Winzergenossenschaft  Müller-Thurgau 6 x 750 ml,5.99,100 ml,Karton 4.5 L,edeka,0.133
8729,Sächsische Winzergenossenschaft  Sachsen Cuvee Rot trocken,9.99,100 ml,Flasche Glas 0.75 L,edeka,1.332
8730,Reh Kendermann Dornfelder Rose trocken,3.29,100 ml,Flasche Glas 0.75 L,edeka,0.43899999999999995
8731,Augusta Förstertee,3.49,100 ml,Flasche Glas 1.0 L,edeka,0.34900000000000003
