,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
3130,Crownfield Cornflakes Honig & Erdnüsse Honey & Peanuts,1.99,100 Gramm,Packung 750 Gramm,lidl,0.265
3131,Confiserie Firenze Sacher Torte,2.59,100 Gramm,Packung 500 Gramm,lidl,0.518
3132,Melangerie Cafe Colombia ganze Bohnen,4.99,100 Gramm,Packung 500 Gramm,lidl,0.998
3133,Oldenländer Rinderminutensteaks vom Jungbullen,3.79,100 Gramm,Packung 320 Gramm,lidl,1.18
3134,Duc de Coeur Apfel Flammkuchen Elsässer Art mit Apfel und Zimt,1.69,100 Gramm,Dose 150 Gramm,lidl,1.13
3135,Deluxe Mandeln Barbecue rauchig geröstet und gesalzen,1.69,100 Gramm,Dose 150 Gramm,lidl,1.13
3136,Deluxe Mandeln Habanero Chili geröstet und gewürzt,1.69,100 Gramm,Dose 150 Gramm,lidl,1.13
3137,Deluxe Mandeln Wasabi geröstet und gewürzt,2.29,100 Gramm,Glas 500 Gramm,lidl,0.458
3138,Marlene Blüten Honig feincremig,1.19,100 Gramm,Glas 350 Gramm,lidl,0.34
3139,Italiamo Tomatensauce Sugo alla Siciliana,0.99,100 Gramm,Beutel 250 Gramm,lidl,0.4
3140,Saladinettes Babykarotten,0.69,100 Gramm,Packung 56 Gramm,lidl,1.23
3141,Confiserie Firenze Schoko Waffel Röllchen 16 Stück,1.79,100 Gramm,Glas 80 Gramm,lidl,2.24
3142,Nixe / Lidl Sardellenfilets in Olivenöl,4.59,100 ml,Flasche Glas 0.7 L,lidl,0.6559999999999999
3143,Sunrise Cocktail Pina Colada,3.29,100 Gramm,Packung 200 Gramm,lidl,1.65
3144,Laschinger Räucherlachs,13.39,100 Gramm,Folie 4200 Gramm 	,lidl,0.319
3145,Gutknecht Junge Hafermast Gans Hkl. A,4.99,100 Gramm,Eimer 10 KG,lidl,0.05
3146,Confiserie Firenze Marmorkuchen,1.09,100 Gramm,"XXL Packung 500 Gramm, + 25% gratis",lidl,0.21800000000000003
3147,Deluxe Wildschweingulasch,6.99,100 Gramm,Packung 500 Gramm,lidl,1.3980000000000001
3148,Limestar Erdbeer Limes,4.99,100 Gramm,Flasche Glas 0.7 Gramm,lidl,712.86
3149,Grill Meister Lachs Steak mit Haut,3.79,100 Gramm,Packung 300 Gramm,lidl,1.26
3150,Grillmeister Nürnberger Rostbratwürste gebrüht,2.15,100 Gramm,Packung 300 Gramm,lidl,0.72
3151,Mc Ennedy American Style Pizza Peperoni Salami,1.89,100 Gramm,Packung 440 Gramm,lidl,0.43
3152,Gelatelli Classic,1.99,100 ml,"Packung 720 ML, 6 x 120 ml",lidl,0.28
