,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1659,Orient Spezialitäten Weiße Bohnen,1.79,100 Gramm,Packung 480 Gramm,aldi-nord,0.37
1660,"Orient Spezialitäten Oliven grün, ohne Stein, 4 x 120g",1.79,100 Gramm,Packung 400 Gramm,aldi-nord,0.44800000000000006
1661,Conradl 6 gefüllte Berliner 6 Stück,0.89,100 Gramm,Packung 150 Gramm,aldi-nord,0.59
1662,Gut Drei Eichen Lyoner,0.89,100 Gramm,Packung 150 Gramm,aldi-nord,0.59
1663,Gut Drei Eichen Bierschinken,1.99,100 Gramm,Glas 250 Gramm,aldi-nord,0.796
1664,Güldenhof Geflügel Würstchen 6 Stück,0.99,100 ml,Getränkekarton 300 ML,aldi-nord,0.33
1665,Freihofer Gourmet Beurre Blanc Sauce,5.49,100 ml,Flasche Glas 0.7 L,aldi-nord,0.784
1666,Ouzo Pyros,0.99,100 Gramm, 100 Gramm,aldi-nord,0.99
1667,Alpenschmaus Party Brezeln,1.99,100 Gramm,Packung 200 Gramm,aldi-nord,1.0
1668,Alpenschmaus Gemischte Napolitains Schweizer Schokolade,2.29,100 Gramm,Packung 175 Gramm,aldi-nord,1.309
1669,Alpenschmaus Confiserie Swiss,0.99,100 Gramm,Packung 250 Gramm,aldi-nord,0.4
1670,Selection Mineralwasser,0.25,100 ml,Flasche Kunststoff 1 L,aldi-nord,0.025
1671,Sprengel / Aldi Nord Erfrischungs-Stäbchen Orange Zitrone Mix,0.89,100 Gramm,Packung 150 Gramm,aldi-nord,0.59
1672,Stolzenfels Sekt Rose trocken,3.79,100 ml,Flasche Glas 0.75 L,aldi-nord,0.505
1673,Lisani Räucher Schinken Schmelzkäsezubereitung in Scheiben,1.89,100 Gramm,Packung 250 Gramm,aldi-nord,0.76
1674,Lisani Räucher Classic Schmelzkäsezubereitung in Scheiben,1.89,100 Gramm,Packung 250 Gramm,aldi-nord,0.76
1675,Pfanntastico / Aldi Nord Bami Goreng,2.15,100 Gramm,Beutel 1000 Gramm,aldi-nord,0.215
1676,Mama Mancini Die Pizza Frische Peperoni Salami,1.79,100 Gramm,Packung 400 Gramm,aldi-nord,0.45
1677,Goldähren 9 Weizenbrötchen,0.89,100 Gramm,Beutel 540 Gramm,aldi-nord,0.16499999999999998
1678,Mama Mancini Pizzaburger Speciale,1.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.66
1679,Mama Mancini Pizzaburger Salami,1.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.66
1680,Mama Mancini Pizzaburger Bolognese,1.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.66
1681,Trader Joes Zazikisalat,0.99,100 Gramm,Schale 280 Gramm,aldi-nord,0.35
1682,Trader Joes Bohnensalat,0.99,100 Gramm,Schale 280 Gramm,aldi-nord,0.35
1683,Trader Joes Rotkrautsalat,0.99,100 Gramm,Schale 280 Gramm,aldi-nord,0.35
1684,Trader Joes Möhrensalat,0.99,100 Gramm,Schale 280 Gramm,aldi-nord,0.35
1685,Devina Snack Würfel ohne Öl,1.49,100 Gramm,Packung 200 Gramm,aldi-nord,0.75
1686,Oster Phantasie Trauben Nuss Nugat Creationen,1.49,100 Gramm,Packung 200 Gramm,aldi-nord,0.75
1687,Oster Phantasie Haselnüsse Nugat Creationen,1.49,100 Gramm,Beutel 200 Gramm,aldi-nord,0.75
1688,Oster Phantasie Frühlings Mandeln Kokos,0.45,100 ml,Flasche Glas 0.33 L,aldi-nord,0.136
1689,Wies Gart / Aldi Nord Karottensaft mit Honig,1.99,100 Gramm,Folie 200 Gramm,aldi-nord,1.0
1690,Hofburger Weichkäse Passion Bunter Pfeffermix,1.79,100 Gramm,Beutel 750 Gramm,aldi-nord,0.23900000000000002
1691,Mama Mancini Pasta Bolognese,0.79,100 ml,Flasche Kunststoff 470 ML,aldi-nord,0.16799999999999998
1692,Meierkamp Schoko Milch,1.69,100 Gramm,Packung 400 Gramm,aldi-nord,0.42300000000000004
1693,Kitchenette Hühner Frikassee,2.59,100 Gramm,Packung 600 Gramm,aldi-nord,0.43200000000000005
1694,Conradl Omas Backstube 6 Kirsch Streuselkuchen,3.29,100 Gramm,Packung 600 Gramm,aldi-nord,0.548
1695,Conradl Omas Backstube Mandel Bienenstich,1.15,100 ml,Flasche Kunststoff 500 ML,aldi-nord,0.22999999999999998
