,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
991,Bahlsen Waffeletten Edelherb,1.99,100 Gramm,Packung 100 Gramm,kaufland,1.99
992,Heines Ragout Fin,1.99,100 Gramm,Dose 400 Gramm,kaufland,0.49800000000000005
993,McCain 1-2-3 Frites Original,1.79,100 Gramm,Beutel 750  Gramm,kaufland,0.23900000000000002
994,Köstritzer Schwarzbier,13.8,100 ml,"Kasten 10 L, 20 x 0,5 L",kaufland,0.13799999999999998
995,"Wernesgrüner Alkoholfrei 20 x 0,5 L / Flasche",13.6,100 ml,Kasten 10 L,kaufland,0.136
996,Krüger Latte Macchiato,1.99,100 Gramm,Packung 180 Gramm,kaufland,1.11
997,Rügenwalder Mühlen Schinken Gegrillter Kochschinken,1.99,100 Gramm,Packung 100 Gramm,kaufland,1.99
998,Hohes C Orange 100% Saft,1.69,100 ml,Pet-Flasche 1 L,kaufland,0.16899999999999998
999,Hohes C Orange mit Fruchtfleisch 100% Saft,1.49,100 ml,Pet-Flasche 1 L,kaufland,0.149
1000,Hohes C Naturelle Apfel-Zitrone,1.65,100 ml,Pet-Flasche 1.5 L,kaufland,0.11000000000000001
1001,Granini Trinkgenuss Orange mit Fruchtfleisch Fruchtgehalt: 100 %,1.69,100 ml,Pet-Flasche 1 L,kaufland,0.16899999999999998
1002,Coppenrath & Wiese Torten-Träume Himbeer Mascarpone,4.99,100 Gramm,Packung 650 Gramm,kaufland,0.768
1003,Pringles Original,2.15,100 Gramm,Dose 190 Gramm,kaufland,1.13
1004,Philadelphia Joghurt,1.19,100 Gramm,Packung 175 Gramm,kaufland,0.68
1005,K Bio Tomatenmark 2-fach konzentriert,1.15,100 Gramm,Tube 200 Gramm,kaufland,0.58
1006,Dr. Oetker Paula Pudding Vanillegeschmack mit Schoko Flecken,1.69,100 Gramm,Packung 500 Gramm,kaufland,0.33799999999999997
1007,"GAZI Grill- und Pfannenkäse Natur, 45% Fett",2.19,100 Gramm,Packung 200 Gramm,kaufland,1.1
1008,Darbo Naturrein Schwarzkirsch,2.22,100 Gramm,Glas 450 Gramm,kaufland,0.49
1009,Toblerone Milch Tafel,1.49,100 Gramm,Packung 100 Gramm,kaufland,1.49
1010,Wiesenhof Gold-Hähnchen,4.39,100 Gramm,Folie 1500 Gramm,kaufland,0.29300000000000004
1011,Wicklein Meistersinger Oblaten Lebkuchen schokoliert,5.49,100 Gramm,Beutel 500 Gramm,kaufland,1.1
1012,Friweika Frische Kartoffelklöße,1.99,100 Gramm,Becher 200 Gramm,kaufland,1.0
1013,Pfennigs Geflügelsalat,1.29,100 Gramm,"Dose 400 Gramm, 2 Stück",kaufland,0.323
1014,Zimmermann Leberknödel Suppe,1.89,100 Gramm,"Packung 270 Gramm, 6 x 45 g",kaufland,0.7
1015,Patros Leicht mild-würzig & cremig,1.79,100 Gramm,Packung 150 Gramm,kaufland,1.193
1016,Iglo Chicken Nuggets,2.49,100 Gramm,"Packung 250 Gramm, 12 Stück",kaufland,0.9960000000000001
1017,K Classic Wald-Heidelbeeren gezuckert,1.99,100 Gramm,Glas 540 Gramm,kaufland,0.369
1018,Homann Meeres Buffet Dill Happen,1.99,100 Gramm,Becher 200 Gramm,kaufland,1.0
1019,Clasen Bio Sonnenblumenkerne,1.65,100 Gramm,Beutel 500 Gramm,kaufland,0.32999999999999996
1020,Milka Crispello Pudding a la Schoko Pudding,1.99,100 Gramm,Packung 140 Gramm,kaufland,1.42
1021,Vinzenzmurr Ungarische Gulaschsuppe,3.99,100 ml,Dose 800 ML,kaufland,0.499
1022,Weiss Hexenhaus,5.49,100 Gramm,Packung 500 Gramm,kaufland,1.098
1023,"Breznak Original böhmisches Bier 20 x 0,5 L",8.6,100 ml,Kasten 10 L,kaufland,0.086
1024,"K Classic Leberkäse fein, 2 x 200 g",1.99,100 Gramm,Packung 400 Gramm,kaufland,0.49800000000000005
1025,Minus L Butterkekse mit Schokolade,2.19,100 Gramm,Packung 125 Gramm,kaufland,1.75
1026,"K Purland Rib Eye Steak vom Jungbullen mariniert, aufgetaut",12.99,100 Gramm,Packung 1000 Gramm,kaufland,1.299
1027,Escal Cocktail Shrimps,6.49,100 Gramm,Beutel 400 Gramm,kaufland,1.623
1028,K Bio Himbeeren erntefrisch tiefgefroren,2.49,100 Gramm,Packung 250 Gramm,kaufland,1.0
1029,"Bärenmarke Die haltbare Alpenmilch 1,8% Fettgehalt",0.69,100 ml,Getränkekarton 1000 ML,kaufland,0.06899999999999999
1030,K Classic Roggen Vollkornbrot,0.99,100 Gramm,Packung 500 Gramm,kaufland,0.198
1031,Friedel Eierlikör Fässchen,0.83,100 Gramm,Beutel 125 Gramm,kaufland,0.66
1032,Frenzel Kartoffelpuffer,1.19,100 Gramm,Packung 600 Gramm,kaufland,0.198
1033,Escal Regenbogen Forellen küchenfertig - nachhaltige Aquakultur,2.19,100 Gramm,Packung 340 Gramm,kaufland,0.644
1034,Top Sea Tilapia Filets ASC zertifiziert,7.29,100 Gramm,Beutel 750 Gramm,kaufland,0.97
1035,Wiesbauer Käsewurst gebraten am Stück,4.29,100 Gramm,Vakuum 300 Gramm,kaufland,1.43
1036,Ardo Paprikastreifen,2.39,100 Gramm,Beutel 1000 Gramm,kaufland,0.23900000000000002
1037,Wernsing Rosmarin Wedges gewürzte Kartoffelspalten vorgebacken,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95
1038,Meica Curry King Geflügel,1.79,100 Gramm,Packung 500 Gramm,kaufland,0.358
1039,K Classic Delikatess Mini Frikadellen ca. 25 Stück,2.79,100 Gramm,Packung 250 Gramm,kaufland,1.116
1040,"Top Sea Pangasius Filets Natur, ASC zertifiziert",0.79,100 ml,Flasche Squeeze 500 ML,kaufland,0.158
1041,K Classic Tomaten Ketchup light,1.89,100 Gramm,Tafel 100 Gramm,kaufland,1.89
1042,Ritter Sport Schokolade laktosefrei Voll-Nuss laktosefrei,3.49,100 Gramm,Dose 340 Gramm,kaufland,1.03
1043,Hereford Corned Beef,1.79,100 Gramm,Packung 400 Gramm,kaufland,0.45
1044,The Original Australien Hot & Spicy BBQsauce,4.99,100 ml,Flasche Glas 335 ML,kaufland,1.49
1045,Dreistern Gourmet Wildschwein Edelgulasch mit Backpflaumen und Portwein,4.49,100 Gramm,Dose 400 Gramm,kaufland,1.12
1046,Kleinemas Rauch Mettenden,2.09,100 Gramm,Folie 300 Gramm,kaufland,0.7
1047,Viva Maris Veganer Algen Brotaufstrich Hummus und Tomate,3.99,100 Gramm,Dose 180 Gramm,kaufland,2.22
1048,Viva Maris Veganer Algen Brotaufstrich Rote Bohnen und Zwiebeln,3.99,100 Gramm,Dose 180 Gramm,kaufland,2.22
1049,Menzi Djuvec Reis nach Balkan-Art,2.99,100 Gramm,Dose 800 Gramm,kaufland,0.37
1050,Reinert Bärchen Bratwurst,2.19,100 Gramm,Packung 180 Gramm,kaufland,1.22
1051,Greisinger Bernier Würstel Chili,2.39,100 Gramm,Packung 300 Gramm,kaufland,0.8
1052,Dahlhoff Fleisch Salat Tegernsee,1.49,100 Gramm,,kaufland,0.99
1053,BioGourmet Pasta Pfanne,4.49,100 Gramm,Packung 217 Gramm,kaufland,2.07
1054,Little Treat Pancake Syrup,4.79,100 Gramm,Flasche Kunststoff 680 Gramm,kaufland,0.704
1055,Lotao Jackfruit Natur,3.89,100 Gramm,Dose 400 Gramm,kaufland,0.9730000000000001
1056,Andechser Natur Sorte des Jahres Haselnuss,2.99,100 Gramm,,kaufland,1.5
1057,Nutwork Ganze Maronen,5.49,100 Gramm,Packung 1035 Gramm,kaufland,0.53
1058,Demeter Bauernmilch Geniesser Mozzarella,1.79,100 Gramm,Beutel 235 Gramm,kaufland,0.76
1059,Viking Hirtenkäse-Snack Schwarze Olive,0.99,100 Gramm,Becher 100 Gramm,kaufland,0.99
1060,Viking Hirtenkäse-Snack Sonnengetrocknete Tomate,0.99,100 Gramm,Becher 100 Gramm,kaufland,0.99
1061,Schlagfix Creme anwendbar wie Mascarpone,1.99,100 Gramm,Becher 250 Gramm,kaufland,0.8
1062,Babybel Cheese & Crackers,0.99,100 Gramm,Packung 40 Gramm,kaufland,2.48
1063,Campo Verde Feiner Senf mittelscharf,1.89,100 ml,Glas 210 ML,kaufland,0.9
1064,Nutwork Griechische Bergfeigen getrocknet,1.99,100 Gramm,Beutel 200 Gramm,kaufland,0.9949999999999999
1065,Bella Gomba Kulturchampignon,1.99,100 Gramm,Packung 125 Gramm,kaufland,1.592
1066,Mein Q Fitness-Quark + Protein Natur,0.79,100 Gramm,Becher 250 Gramm,kaufland,0.32
1067,Steinhaus Asia Frische Box Chinmi Huhn,3.49,100 Gramm,Packung 208 Gramm,kaufland,1.68
1068,Steinhaus Asia Frische Box Gemüse,3.49,100 Gramm,Packung 208 Gramm,kaufland,1.68
1069,Youcook Rotes Thai Curry mit Huhn,3.99,100 Gramm,Packung 420 Gramm,kaufland,0.95
1070,Youcook Indisches Butter Chicken mit Huhn,3.99,100 Gramm,Packung 420 Gramm,kaufland,0.95
1071,Youcook Japanisches Chicken Teriyaki mit Huhn,3.99,100 Gramm,Packung 420 Gramm,kaufland,0.95
1072,Patros Hirtencreme Paprika Chili,1.69,100 Gramm,Becher 150 Gramm,kaufland,1.13
1073,Patros Hirtencreme Tomate Basilikum,1.69,100 Gramm,Becher 150 Gramm,kaufland,1.13
1074,Tillmanns Pork Mini Rolls mediterran,2.99,100 Gramm,Packung 400 Gramm,kaufland,0.748
1075,Rügenwalder Mühle Bio Mühlen Bratwurst,2.79,100 Gramm,Folie 160 Gramm,kaufland,1.74
1076,Abbelen Tasty Box Royal Cheeseburger,2.99,100 Gramm,Packung 186 Gramm,kaufland,1.61
1077,Campo Verde demeter Dinkel Grissini,1.99,100 Gramm,Packung 100 Gramm,kaufland,1.99
1078,Campo Verde demeter Pane Crocci,2.79,100 Gramm,Packung 150 Gramm,kaufland,1.86
1079,Kinder Mix 3D Haus Adventshaus,7.99,100 Gramm,Packung 234 Gramm,kaufland,3.41
1080,GAZI Grill- und Pfannenkäse Honey BBQ,2.19,100 Gramm,Packung 200 Gramm,kaufland,1.1
1081,Rougette Marinierter Grillkäse Paprika,2.69,100 Gramm,Packung 180 Gramm,kaufland,1.49
1082,Kölln Balance Kölln Flocken glutenfrei zart,2.89,100 Gramm,Packung 500 Gramm,kaufland,0.5780000000000001
1083,Campo Verde demeter Haferflocken Zartblatt,2.29,100 Gramm,Beutel 500 Gramm,kaufland,0.458
1084,Campo Verde demeter Haferflocken Großblatt,2.29,100 Gramm,Beutel 500 Gramm,kaufland,0.458
1085,Campo Verde demeter 4 Korn Flocken,2.49,100 Gramm,Beutel 500 Gramm,kaufland,0.49800000000000005
1086,Oryza Ratatouille,2.79,100 Gramm,Glas 410 Gramm,kaufland,0.68
1087,Walkers Assorted Shortbread Stem Ginger,4.29,100 Gramm,Packung 175 Gramm,kaufland,2.45
1088,Arla Sykr Milchspeise Natur,1.49,100 Gramm,Becher 450 Gramm,kaufland,0.331
1089,Campo Verde demeter Aprikosen Cookies mit Mandeln,1.79,100 Gramm,Packung 150 Gramm,kaufland,1.19
1090,Jack Links Beef Jerky Original,4.59,100 Gramm,Packung 70 Gramm,kaufland,6.56
1091,Aldente Bruschetta Brot,1.99,100 Gramm,Packung 400 Gramm,kaufland,0.5
1092,Neukircher Zwieback Classic,0.85,100 Gramm,Packung 225 Gramm,kaufland,0.38
