,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1986,"Romeo SELECT Feine Pastete mit Pute, Pasta & Gemüse",2.99,100 ml,Packung 750 ML,aldi-sued,0.399
1987,Desira Creme Joghurt Vanille,11.99,100 Gramm,Packung 500 Gramm,aldi-sued,2.398
1988,Herzhafte Alpenküche Kräuternockerl in Fleischbouillon,1.89,100 Gramm,Beutel 750 Gramm,aldi-sued,0.252
1989,Herzhafte Alpenküche Leberspätzlesuppe pikant fein,69.99,Preis pro Stück,Packung 1 Stück,aldi-sued,69.99
1990,Gourmet Champagner Sorbet,2.99,Preis pro Stück,Packung 16 Gramm,aldi-sued,0.19
1991,Expressi Lungo Kapseln Amalfi,2.99,Preis pro Stück,Packung 16 Stück,aldi-sued,0.19
1992,Expressi Spezialitäten Kapseln Latte Macchiato Espresso,2.99,Preis pro Stück,Packung 16 Stück,aldi-sued,0.19
1993,Expressi Spezialitäten Kapseln Chai Latte,2.99,Preis pro Stück,Packung 16 Stück,aldi-sued,0.19
1994,BBQ Zeit zum Grillen Alu Grillfolie,1.55,Preis pro 1 Meter,Packung 10 Meter,aldi-sued,0.16
1995,Aldi Süd Universal Wasserfilter Patronen,2.79,100 Gramm,Packung 350 Gramm,aldi-sued,0.8
1996,Traditionelle Genüsse Tellersülze,5.59,100 Gramm,Packung 400 Gramm,aldi-sued,1.3980000000000001
1997,Vegetarisch Lecker Veggie Würstchen,1.19,100 Gramm,Dose 110 Gramm,aldi-sued,1.08
1998,Müller Fleisch Rinder Beinscheiben mit Knochen,2.39,100 Gramm,Packung 350 Gramm,aldi-sued,0.68
1999,Müller Fleisch Rinder Suppenfleisch ohne Knochen,2.39,100 Gramm,Packung 350 Gramm,aldi-sued,0.68
2000,Prevora Rinder Steaks mariniert,1.49,100 ml,Getränkekarton 1.5 L,aldi-sued,0.099
2001,Vegetarisch Lecker Bio Veggie Aufstrich Naturell,0.69,100 Gramm,Packung 125 Gramm,aldi-sued,0.55
2002,SHISU Sushi Box frisch Shokuji,2.69,100 Gramm,Packung 190 Gramm,aldi-sued,1.42
2003,Riggano Holzofen Pizza Originale Italiana Milanese,1.99,100 Gramm,Packung 375 Gramm,aldi-sued,0.53
2004,Gartenkrone Blattspinat,1.49,100 Gramm,Beutel 1000 Gramm,aldi-sued,0.149
2005,Aldi Süd Hafermastgans,14.67,100 Gramm,Folie 4.6 KG,aldi-sued,0.319
2006,Alpenmark Back Frischkäse Sticks,1.89,100 Gramm,Packung 200 Gramm,aldi-sued,0.95
2007,Almare Thunfischfilets,3.59,100 Gramm,Packung 250 Gramm,aldi-sued,1.44
2008,Expressi Kaffee Sirup Vanille Geschmack,1.39,100 Gramm,Flasche Kunststoff 250 Gramm,aldi-sued,0.56
2009,Westcliff Loser Tee in der Dose Chun Mee Grüner Tee,20.86,100 Gramm,Packung 4.18 KG,aldi-sued,0.499
2010,Westcliff Loser Tee in der Dose Shen Nung,26.35,100 Gramm,Folie 4800 Gramm,aldi-sued,0.549
2011,Meine Metzgerei / Aldi Süd Frische Festtags Pute,2.99,100 Gramm,Packung 530 Gramm,aldi-sued,0.564
2012,Meine Metzgerei Frische Gans,7.49,100 ml,Flasche Glas 700 ML,aldi-sued,1.0699999999999998
2013,Allfein Hähnchen Chicken & Dip Sweet Chili Sauce,7.79,100 ml,"Flasche Glas 0.5 L, Sondergröße",aldi-sued,1.558
